part_number,description,cost
VP229E-20BQHNT,SMARTX PIBCV DN20 - HIGH FLOW,204.43
VP228E-20BQSNT,SMARTX PIBCV DN20 - STD FLOW,138.5
MP300-SRD,SR CLOSE ACTUATOR-MULTI SIGNAL,266.55
TC903-3A2P-24,"TStat,FCU-P,LCD,2P,24V,Wt",114.48
8770003000,Actuator Damper LF24-SR,275.22
9814000388,Venturi Pipe - 0.6 m,52.97
6553065000,VR-1.5M,81.78
6553066000,VR-2.8M,132.77
MP130-24MP-0,0(2)-10V Mod. act. + feedback,178.98
MP130-24MP,0(2)-10V MOD. ACT. + FEEDBACK,205.84
MP130-24MP-10M,0(2)-10V MOD. ACT. + FEEDBACK,207.04
MP130-24MP-10M-0,0(2)-10V Mod. act. + feedback,207.04
MP130-24M-10M,0(2)-10V MODULATING ACT. 10M,181.53
MP130-24M-10M-0,"0(2)-10V Modulating act., 10m",181.53
MP130-24M-0,0(2)-10V Modulating actuator,153.4
MP130-24M,0(2)-10V MODULATING ACTUATOR,164.23
9114500500-0,0.5m Digital daisy chain cable,36.99
SXWRE0104PD10001,0-10V Dimming module with power distribu,696.74
SXWRE010410001,0-10V Dimming module without power distr,542.31
MP125NC24DCM,0-10V Thermal Act DC,128.67
MP125NO24M,0-10V Thermal Act NO,128.67
MP125NC24M,"0-10V Thermal Actuator, 24 Vac, NC",128.67
9114401500-0,1.5m Digital cable,31.78
9114501500-0,1.5m Digital daisy chain cable,36.99
9114801500-0,1.5m immersion temp. sensor,121.42
9114601500-0,1.5m Remote IO cable,53.94
9114701500-0,1.5m strap on temp. sensor,126.65
SXWHHREL10001,"10 Channel Relay Module, 10xDO + 12xDI (",402.26
9114410000-0,10m Digital cable,84.36
9114510000-0,10m Digital daisy chain cable,84.36
MPCAB10M,"10M Valve Actuator Cable, 5 pcs",262.58
MF1450-230F,230V 1450NM DN400-450 FLOAT.,11082.21
MF200-230F,230V 200NM DN200..250 FLOAT.,3154.25
MF2050-230F,230V 2050NM DN500 FLOAT.,13363.98
MF68-230F,230V 68NM DN050..150 FLOAT.,2593.46
MF700-230F,230V 700NM DN250..500 FLOAT.,4703.96
MF200-24F,24V 200NM DN200..250 FLOAT.,4275.66
MF200-24M,24V 200NM DN200..250 MOD.,6020.08
